,CIR805,FP_AMP2,CIR769,CIR783,CIR802,MAX_NOISE,CIR772,CIR821,CIR818,CIR814,CIR816,CIR817,CIR804,FP_IDX,CIR785,CIR806,CIR811,CIR815,CIR770,CIR809,CIR784,FP_AMP1,CIR822,FP_AMP3,CIR768,CIR798,CIR787,CIR796,CIR771,CIR786,CIR767,CIR801,CIR819,CIR782,CIR_PWR,CIR820,CIR808,CIR766,RANGE,NLOS
10,271.0,18968.0,389.0,431.0,354.0,1187.0,202.0,261.0,259.0,184.0,232.0,264.0,388.0,749.0,314.0,427.0,475.0,54.0,1373.0,126.0,372.0,12079.0,129.0,16401.0,1102.0,299.0,522.0,564.0,618.0,511.0,67.0,398.0,472.0,263.0,12342.0,379.0,123.0,1542.0,1.28,0.0
11,1635.0,17389.0,1971.0,1537.0,2348.0,1073.0,4357.0,1942.0,2056.0,2224.0,827.0,1228.0,214.0,745.0,563.0,922.0,2326.0,767.0,4956.0,2150.0,2693.0,122.0,1047.0,16780.0,1869.0,1309.0,1887.0,1703.0,6338.0,2277.0,3748.0,334.0,1012.0,2719.0,15848.0,1329.0,846.0,1824.0,9.09,1.0
12,231.0,908.0,2151.0,707.0,625.0,1421.0,1314.0,257.0,322.0,287.0,118.0,300.0,175.0,745.0,729.0,195.0,290.0,480.0,1721.0,673.0,134.0,7665.0,406.0,1792.0,363.0,408.0,739.0,635.0,1106.0,844.0,1621.0,519.0,355.0,1220.0,9683.0,307.0,434.0,2464.0,2.75,0.0
13,696.0,16999.0,1746.0,1255.0,660.0,967.0,709.0,596.0,958.0,978.0,651.0,846.0,985.0,748.0,2199.0,701.0,835.0,850.0,1375.0,894.0,2213.0,10985.0,584.0,9716.0,1228.0,1471.0,457.0,529.0,599.0,993.0,1007.0,733.0,1043.0,869.0,6106.0,579.0,753.0,517.0,4.58,1.0
14,343.0,19370.0,1548.0,658.0,741.0,1440.0,643.0,294.0,429.0,504.0,91.0,147.0,736.0,747.0,976.0,365.0,706.0,710.0,1531.0,207.0,571.0,9955.0,745.0,12651.0,463.0,85.0,607.0,935.0,577.0,841.0,2088.0,768.0,702.0,593.0,9304.0,475.0,448.0,1221.0,1.23,1.0
15,855.0,16420.0,1404.0,1123.0,536.0,897.0,1781.0,384.0,438.0,313.0,442.0,303.0,781.0,746.0,1057.0,718.0,141.0,492.0,2253.0,357.0,1314.0,9067.0,44.0,16956.0,3598.0,582.0,826.0,541.0,2620.0,952.0,2652.0,259.0,177.0,1100.0,8192.0,382.0,516.0,1599.0,2.71,1.0
16,402.0,7633.0,1346.0,1655.0,877.0,1354.0,606.0,386.0,887.0,572.0,877.0,820.0,656.0,744.0,583.0,440.0,449.0,665.0,1038.0,627.0,937.0,10364.0,354.0,11581.0,2241.0,668.0,782.0,578.0,977.0,1318.0,3643.0,385.0,244.0,2450.0,10456.0,307.0,966.0,2583.0,2.34,0.0
17,538.0,9501.0,5458.0,1938.0,623.0,861.0,6227.0,315.0,307.0,696.0,347.0,627.0,570.0,749.0,1615.0,634.0,716.0,718.0,3710.0,906.0,804.0,2565.0,452.0,12348.0,6813.0,1228.0,1851.0,351.0,3036.0,2483.0,4116.0,370.0,425.0,2117.0,12887.0,514.0,775.0,1513.0,1.75,0.0
18,751.0,6746.0,10502.0,3258.0,1507.0,1565.0,9023.0,760.0,1106.0,410.0,948.0,1198.0,1254.0,748.0,3701.0,1041.0,994.0,367.0,12605.0,899.0,4987.0,14579.0,836.0,6769.0,2087.0,1579.0,3292.0,1710.0,1297.0,672.0,2623.0,1105.0,701.0,1905.0,15614.0,1125.0,1200.0,1350.0,1.27,0.0
19,2163.0,10902.0,6484.0,767.0,1045.0,1019.0,2104.0,1530.0,733.0,1444.0,1538.0,345.0,1948.0,747.0,2297.0,2818.0,1626.0,1623.0,2101.0,844.0,542.0,7720.0,1009.0,9726.0,8167.0,1888.0,3962.0,1578.0,6846.0,3581.0,4013.0,527.0,1748.0,3407.0,15078.0,2360.0,910.0,2902.0,6.86,1.0
20,213.0,10673.0,2455.0,2058.0,557.0,1300.0,4441.0,74.0,281.0,298.0,163.0,160.0,160.0,744.0,768.0,488.0,817.0,374.0,3581.0,1461.0,1269.0,8198.0,467.0,11455.0,1435.0,739.0,527.0,530.0,4053.0,465.0,2210.0,725.0,405.0,2608.0,10315.0,366.0,1187.0,2265.0,4.51,1.0
21,169.0,17392.0,1422.0,778.0,176.0,1078.0,1088.0,506.0,253.0,143.0,47.0,374.0,23.0,747.0,653.0,477.0,405.0,156.0,1312.0,242.0,1030.0,1390.0,311.0,15882.0,2582.0,680.0,159.0,757.0,1550.0,244.0,1977.0,310.0,678.0,459.0,11821.0,365.0,545.0,3049.0,1.08,0.0
22,656.0,8350.0,1954.0,3113.0,1116.0,1563.0,3586.0,429.0,1260.0,363.0,722.0,1113.0,630.0,746.0,3737.0,985.0,540.0,355.0,1113.0,945.0,3469.0,5184.0,260.0,9297.0,1005.0,854.0,1528.0,1570.0,4191.0,2929.0,2565.0,1287.0,902.0,1625.0,12220.0,683.0,1386.0,3940.0,3.06,0.0
23,541.0,16864.0,565.0,996.0,518.0,815.0,1198.0,263.0,461.0,266.0,472.0,395.0,616.0,744.0,269.0,515.0,497.0,531.0,718.0,419.0,601.0,11895.0,500.0,9752.0,1216.0,364.0,515.0,334.0,868.0,456.0,1987.0,605.0,212.0,1154.0,9503.0,563.0,328.0,1283.0,3.51,0.0
24,394.0,17083.0,1553.0,1431.0,727.0,968.0,1092.0,671.0,290.0,436.0,269.0,300.0,570.0,748.0,674.0,325.0,465.0,264.0,919.0,583.0,691.0,6545.0,469.0,15057.0,1775.0,574.0,997.0,785.0,1136.0,612.0,564.0,757.0,350.0,815.0,11634.0,314.0,554.0,456.0,1.67,0.0
25,163.0,1523.0,2242.0,1002.0,342.0,1301.0,1809.0,461.0,253.0,108.0,230.0,468.0,23.0,737.0,358.0,228.0,358.0,348.0,457.0,185.0,956.0,1358.0,257.0,1275.0,2098.0,278.0,493.0,286.0,2534.0,803.0,2369.0,647.0,239.0,511.0,1401.0,241.0,249.0,4016.0,2.8,1.0
26,111.0,11468.0,1145.0,1372.0,166.0,903.0,226.0,352.0,402.0,123.0,183.0,226.0,545.0,744.0,733.0,233.0,218.0,265.0,2120.0,242.0,777.0,4411.0,17.0,10757.0,922.0,768.0,292.0,348.0,1147.0,365.0,1833.0,390.0,515.0,1328.0,9338.0,194.0,209.0,1257.0,3.1,0.0
27,2552.0,6097.0,1826.0,2763.0,1002.0,1086.0,4914.0,882.0,1417.0,1302.0,778.0,1106.0,472.0,749.0,3707.0,2653.0,1365.0,1179.0,1156.0,2121.0,5016.0,3454.0,669.0,4420.0,3365.0,2508.0,6069.0,132.0,3692.0,3235.0,2158.0,2239.0,1162.0,1988.0,4218.0,1252.0,1675.0,58.0,8.5,1.0
28,258.0,5056.0,671.0,1059.0,230.0,892.0,619.0,56.0,335.0,74.0,137.0,226.0,185.0,744.0,790.0,223.0,179.0,214.0,3107.0,239.0,815.0,14733.0,176.0,4760.0,3016.0,248.0,928.0,384.0,2600.0,938.0,4868.0,168.0,156.0,1191.0,8134.0,158.0,249.0,3319.0,4.41,0.0
29,445.0,18022.0,6876.0,3609.0,587.0,1068.0,4522.0,1034.0,332.0,564.0,976.0,947.0,622.0,749.0,944.0,905.0,675.0,686.0,3338.0,316.0,1031.0,9819.0,977.0,13230.0,6164.0,1123.0,1983.0,781.0,4107.0,1566.0,6507.0,158.0,224.0,2698.0,9326.0,688.0,1032.0,7110.0,5.03,0.0
30,793.0,11739.0,1923.0,652.0,856.0,1015.0,1774.0,274.0,135.0,299.0,471.0,441.0,565.0,748.0,568.0,413.0,269.0,95.0,714.0,173.0,372.0,568.0,341.0,11425.0,2009.0,494.0,189.0,197.0,1034.0,232.0,1443.0,373.0,232.0,851.0,9604.0,99.0,92.0,2489.0,2.89,1.0
31,2829.0,17788.0,3627.0,2458.0,1993.0,2804.0,5284.0,1051.0,1138.0,1617.0,1898.0,1358.0,1945.0,750.0,1881.0,1528.0,2053.0,1848.0,1804.0,1987.0,2530.0,6414.0,1636.0,16707.0,1750.0,188.0,1353.0,4218.0,4808.0,1686.0,2104.0,2624.0,1264.0,968.0,13584.0,1457.0,991.0,4615.0,2.16,0.0
32,513.0,8914.0,3472.0,1334.0,167.0,717.0,945.0,495.0,491.0,480.0,428.0,308.0,719.0,744.0,782.0,336.0,615.0,500.0,2690.0,434.0,1067.0,3693.0,425.0,6741.0,1888.0,388.0,445.0,467.0,908.0,1350.0,1789.0,217.0,30.0,701.0,9633.0,416.0,613.0,543.0,1.28,1.0
33,372.0,17712.0,1663.0,575.0,572.0,838.0,1725.0,503.0,228.0,658.0,313.0,175.0,433.0,746.0,210.0,256.0,464.0,301.0,1251.0,382.0,433.0,11914.0,390.0,13839.0,1591.0,308.0,1000.0,232.0,700.0,588.0,903.0,606.0,377.0,765.0,9656.0,322.0,489.0,1060.0,1.49,0.0
34,2800.0,19035.0,2434.0,949.0,648.0,1853.0,5079.0,1646.0,95.0,1049.0,653.0,904.0,521.0,747.0,1766.0,4093.0,1286.0,456.0,812.0,1390.0,2379.0,9340.0,2102.0,15342.0,2787.0,3759.0,2841.0,1109.0,3941.0,667.0,5914.0,1558.0,991.0,2160.0,11989.0,997.0,2003.0,5568.0,1.64,0.0
35,1153.0,8083.0,4614.0,848.0,914.0,1818.0,3195.0,636.0,2077.0,616.0,958.0,2200.0,1081.0,745.0,958.0,676.0,1630.0,930.0,3067.0,293.0,1148.0,9025.0,1154.0,7337.0,1374.0,1031.0,1828.0,578.0,1362.0,890.0,4508.0,2274.0,1474.0,316.0,17203.0,781.0,520.0,3838.0,4.7,0.0
36,193.0,2652.0,1277.0,814.0,59.0,836.0,610.0,322.0,66.0,158.0,289.0,263.0,229.0,745.0,769.0,166.0,230.0,190.0,1352.0,112.0,640.0,15614.0,259.0,8737.0,941.0,267.0,276.0,123.0,1032.0,473.0,379.0,221.0,243.0,507.0,7634.0,171.0,176.0,361.0,2.91,0.0
37,99.0,3450.0,1989.0,315.0,139.0,1266.0,1023.0,329.0,236.0,541.0,178.0,137.0,250.0,747.0,528.0,359.0,221.0,352.0,1863.0,222.0,53.0,3645.0,128.0,4186.0,1519.0,164.0,441.0,549.0,2518.0,225.0,1933.0,501.0,169.0,51.0,1301.0,45.0,206.0,4210.0,3.96,1.0
38,381.0,17237.0,712.0,546.0,200.0,905.0,427.0,192.0,258.0,125.0,515.0,612.0,203.0,747.0,237.0,583.0,259.0,184.0,686.0,464.0,325.0,4006.0,119.0,16210.0,728.0,259.0,383.0,174.0,384.0,405.0,312.0,120.0,245.0,1075.0,6056.0,176.0,240.0,1231.0,6.35,0.0
39,374.0,20112.0,2285.0,1139.0,398.0,882.0,1427.0,500.0,148.0,174.0,243.0,142.0,428.0,748.0,1064.0,149.0,212.0,58.0,2215.0,495.0,1442.0,9053.0,223.0,14526.0,3186.0,188.0,702.0,554.0,1179.0,349.0,783.0,343.0,270.0,1531.0,10565.0,484.0,314.0,1863.0,2.63,0.0
40,217.0,18578.0,2966.0,1160.0,552.0,781.0,3747.0,193.0,462.0,344.0,156.0,313.0,161.0,744.0,378.0,133.0,178.0,315.0,1951.0,580.0,468.0,9479.0,330.0,19207.0,3765.0,104.0,692.0,88.0,2880.0,225.0,2616.0,433.0,180.0,1585.0,8798.0,447.0,631.0,3306.0,4.44,0.0
41,995.0,17173.0,1287.0,957.0,471.0,3324.0,2587.0,1251.0,148.0,414.0,680.0,193.0,1442.0,744.0,2032.0,559.0,651.0,653.0,2841.0,620.0,1481.0,428.0,170.0,18074.0,3032.0,500.0,1450.0,1192.0,3684.0,936.0,4128.0,653.0,558.0,1396.0,11102.0,1072.0,473.0,4930.0,2.06,1.0
42,614.0,4416.0,1337.0,465.0,172.0,1207.0,863.0,368.0,512.0,294.0,370.0,407.0,416.0,741.0,371.0,704.0,424.0,393.0,1264.0,353.0,729.0,1776.0,686.0,3163.0,561.0,331.0,75.0,633.0,285.0,102.0,1475.0,483.0,411.0,545.0,4234.0,163.0,579.0,1178.0,5.25,1.0
43,981.0,19109.0,1425.0,2022.0,212.0,724.0,898.0,364.0,447.0,274.0,752.0,329.0,612.0,751.0,720.0,529.0,267.0,660.0,788.0,25.0,662.0,14847.0,310.0,16533.0,1703.0,1048.0,962.0,394.0,353.0,466.0,526.0,606.0,265.0,1649.0,11173.0,443.0,34.0,1828.0,3.29,0.0
44,714.0,20104.0,826.0,678.0,484.0,3519.0,801.0,988.0,111.0,623.0,692.0,382.0,482.0,744.0,117.0,666.0,485.0,883.0,603.0,288.0,451.0,19727.0,714.0,14811.0,1245.0,680.0,536.0,519.0,646.0,206.0,1785.0,309.0,563.0,624.0,12437.0,281.0,509.0,1163.0,0.21,0.0
45,478.0,18091.0,688.0,121.0,258.0,1797.0,518.0,417.0,279.0,517.0,202.0,264.0,291.0,745.0,540.0,279.0,157.0,481.0,585.0,204.0,789.0,16573.0,504.0,16971.0,855.0,711.0,177.0,556.0,145.0,229.0,1309.0,249.0,541.0,460.0,12729.0,456.0,366.0,572.0,1.56,0.0
46,92.0,15643.0,6009.0,3303.0,787.0,1666.0,2381.0,422.0,238.0,192.0,435.0,435.0,256.0,748.0,979.0,445.0,95.0,442.0,6762.0,463.0,944.0,16657.0,364.0,9039.0,1824.0,589.0,1388.0,618.0,3849.0,1055.0,7547.0,283.0,396.0,4085.0,15499.0,300.0,670.0,6011.0,1.62,0.0
47,697.0,5634.0,1592.0,462.0,507.0,1263.0,871.0,769.0,354.0,394.0,672.0,439.0,515.0,744.0,890.0,693.0,324.0,487.0,436.0,660.0,654.0,14211.0,696.0,4077.0,1349.0,657.0,214.0,797.0,1573.0,190.0,855.0,581.0,437.0,578.0,14863.0,481.0,623.0,1594.0,6.61,0.0
48,630.0,7307.0,3844.0,938.0,470.0,836.0,739.0,406.0,743.0,444.0,549.0,686.0,726.0,743.0,181.0,350.0,418.0,445.0,4637.0,384.0,725.0,3306.0,372.0,5509.0,3614.0,1050.0,1364.0,814.0,3191.0,725.0,1943.0,743.0,405.0,641.0,12260.0,427.0,696.0,1441.0,0.82,1.0
49,432.0,18392.0,1332.0,234.0,387.0,2009.0,1210.0,751.0,182.0,123.0,165.0,385.0,500.0,750.0,175.0,111.0,352.0,322.0,2871.0,354.0,163.0,17550.0,72.0,15154.0,1011.0,620.0,469.0,1155.0,3372.0,215.0,344.0,488.0,57.0,382.0,10724.0,582.0,286.0,1803.0,0.68,0.0
50,2616.0,4570.0,2446.0,1556.0,3681.0,1567.0,4409.0,1096.0,248.0,1245.0,138.0,465.0,1644.0,750.0,2423.0,2109.0,2363.0,222.0,361.0,676.0,2860.0,3729.0,708.0,4091.0,3634.0,1164.0,3958.0,243.0,4081.0,1868.0,5300.0,2865.0,433.0,1494.0,12921.0,442.0,833.0,6447.0,6.08,0.0
51,226.0,2296.0,62.0,403.0,124.0,1258.0,980.0,170.0,46.0,333.0,323.0,90.0,209.0,741.0,497.0,103.0,218.0,247.0,550.0,237.0,50.0,3036.0,328.0,1869.0,383.0,288.0,122.0,480.0,1479.0,74.0,1557.0,431.0,65.0,615.0,3971.0,321.0,165.0,1681.0,5.33,1.0
52,2888.0,18178.0,7320.0,3891.0,5226.0,968.0,6365.0,971.0,3386.0,2461.0,2544.0,2867.0,2683.0,748.0,3277.0,2444.0,2149.0,1587.0,8363.0,2578.0,5495.0,7090.0,1213.0,12500.0,5798.0,3054.0,2164.0,1540.0,2415.0,3760.0,3325.0,3771.0,1543.0,2171.0,24308.0,728.0,3816.0,8412.0,2.18,0.0
53,903.0,19478.0,4591.0,1260.0,1088.0,1698.0,5571.0,838.0,773.0,698.0,466.0,635.0,1200.0,751.0,940.0,611.0,705.0,422.0,4209.0,911.0,1414.0,15642.0,626.0,16604.0,3496.0,800.0,2187.0,976.0,5416.0,2042.0,3827.0,538.0,858.0,773.0,12303.0,1031.0,450.0,3830.0,2.01,0.0
54,623.0,18938.0,7408.0,269.0,148.0,950.0,3859.0,87.0,362.0,551.0,280.0,559.0,757.0,751.0,1195.0,424.0,343.0,374.0,2169.0,426.0,1223.0,14762.0,232.0,14004.0,4617.0,508.0,858.0,191.0,5190.0,864.0,4461.0,111.0,349.0,1826.0,14524.0,291.0,485.0,5702.0,2.02,0.0
55,644.0,17214.0,610.0,987.0,454.0,803.0,729.0,490.0,57.0,404.0,244.0,399.0,289.0,750.0,691.0,457.0,245.0,431.0,746.0,429.0,952.0,5549.0,523.0,16265.0,1634.0,408.0,165.0,421.0,1229.0,155.0,1402.0,464.0,200.0,433.0,6394.0,516.0,264.0,600.0,4.05,0.0
56,1718.0,17022.0,5811.0,650.0,1383.0,1620.0,3112.0,380.0,534.0,427.0,650.0,250.0,864.0,750.0,1335.0,1662.0,444.0,1318.0,5531.0,721.0,817.0,15300.0,242.0,11839.0,1765.0,925.0,1632.0,1713.0,3690.0,1112.0,3269.0,722.0,641.0,1978.0,11018.0,708.0,188.0,3011.0,1.7,0.0
57,388.0,10217.0,6721.0,4355.0,1755.0,1413.0,3119.0,1249.0,932.0,2085.0,665.0,520.0,686.0,749.0,6387.0,627.0,553.0,874.0,11183.0,1032.0,2225.0,14964.0,449.0,14568.0,4058.0,2645.0,3939.0,1454.0,5921.0,8161.0,5730.0,1082.0,1470.0,10671.0,25028.0,1136.0,1207.0,9917.0,3.36,0.0
58,918.0,19562.0,1107.0,363.0,685.0,1799.0,888.0,836.0,945.0,481.0,590.0,822.0,984.0,749.0,906.0,326.0,636.0,146.0,1127.0,688.0,731.0,18664.0,309.0,17303.0,1745.0,720.0,639.0,754.0,1280.0,681.0,1518.0,798.0,691.0,692.0,10588.0,764.0,593.0,1194.0,2.74,0.0
59,501.0,17163.0,542.0,242.0,717.0,2054.0,1358.0,449.0,985.0,239.0,502.0,422.0,1184.0,748.0,483.0,289.0,767.0,713.0,1270.0,1307.0,770.0,17454.0,184.0,12399.0,926.0,775.0,1800.0,451.0,2030.0,1129.0,1443.0,163.0,919.0,85.0,12178.0,721.0,649.0,892.0,2.6,0.0
60,1174.0,12604.0,911.0,1444.0,2021.0,1684.0,684.0,475.0,410.0,57.0,927.0,127.0,1716.0,751.0,1882.0,147.0,672.0,703.0,1107.0,842.0,1496.0,8010.0,617.0,9395.0,2275.0,1656.0,655.0,1151.0,2734.0,1517.0,3536.0,1748.0,131.0,2717.0,9359.0,520.0,1227.0,2567.0,6.51,0.0
61,977.0,18908.0,2092.0,2494.0,1008.0,1407.0,1204.0,1327.0,427.0,1289.0,895.0,356.0,731.0,748.0,152.0,1620.0,818.0,1150.0,3373.0,476.0,1666.0,12080.0,1412.0,16889.0,1748.0,358.0,1415.0,712.0,2220.0,1342.0,3455.0,151.0,693.0,2684.0,10629.0,423.0,749.0,1843.0,7.51,1.0
62,286.0,7931.0,2748.0,662.0,249.0,879.0,729.0,114.0,235.0,132.0,192.0,243.0,407.0,748.0,825.0,253.0,510.0,253.0,1635.0,301.0,676.0,3899.0,239.0,8897.0,3032.0,505.0,713.0,244.0,1594.0,657.0,995.0,178.0,180.0,641.0,8256.0,306.0,192.0,581.0,1.74,1.0
63,678.0,6285.0,319.0,615.0,336.0,1204.0,1856.0,580.0,589.0,682.0,601.0,781.0,535.0,743.0,547.0,684.0,711.0,357.0,1508.0,795.0,1248.0,2036.0,543.0,6654.0,1306.0,794.0,1226.0,827.0,632.0,997.0,416.0,900.0,589.0,2650.0,12080.0,756.0,676.0,5039.0,1.31,1.0
64,1182.0,14076.0,7814.0,2051.0,1484.0,2631.0,4897.0,1019.0,569.0,563.0,568.0,1101.0,1570.0,748.0,2767.0,277.0,856.0,798.0,1653.0,1040.0,1523.0,5146.0,988.0,16896.0,7574.0,2057.0,1174.0,275.0,5315.0,1421.0,3887.0,905.0,1037.0,3288.0,16072.0,995.0,1307.0,10766.0,1.49,0.0
65,777.0,3867.0,2700.0,1542.0,408.0,1190.0,1946.0,864.0,125.0,464.0,491.0,518.0,538.0,748.0,1470.0,122.0,214.0,432.0,2630.0,176.0,1603.0,4121.0,317.0,4123.0,1540.0,1014.0,1284.0,590.0,603.0,1040.0,1820.0,186.0,785.0,1065.0,6298.0,1304.0,244.0,3017.0,4.94,1.0
66,272.0,7888.0,4774.0,792.0,368.0,890.0,2486.0,350.0,252.0,223.0,497.0,253.0,270.0,747.0,588.0,427.0,177.0,335.0,2283.0,199.0,822.0,12893.0,386.0,9328.0,812.0,399.0,505.0,55.0,3001.0,194.0,6032.0,719.0,398.0,616.0,11646.0,475.0,483.0,879.0,5.57,0.0
67,474.0,5283.0,820.0,502.0,503.0,1033.0,886.0,492.0,286.0,348.0,799.0,820.0,449.0,742.0,756.0,592.0,507.0,453.0,628.0,378.0,412.0,3010.0,418.0,4162.0,739.0,724.0,754.0,497.0,620.0,741.0,1183.0,729.0,300.0,776.0,1240.0,253.0,482.0,919.0,7.57,1.0
68,1713.0,18970.0,3201.0,2932.0,211.0,784.0,3628.0,662.0,365.0,726.0,960.0,70.0,189.0,750.0,1085.0,1825.0,663.0,697.0,661.0,785.0,2590.0,7355.0,992.0,19734.0,4217.0,900.0,2790.0,508.0,3308.0,1913.0,4951.0,748.0,294.0,2722.0,14875.0,768.0,2081.0,6650.0,6.22,1.0
69,1716.0,12420.0,7579.0,5813.0,2905.0,728.0,1371.0,765.0,615.0,662.0,536.0,336.0,1268.0,751.0,4227.0,2672.0,692.0,523.0,5725.0,572.0,5081.0,11087.0,778.0,10830.0,3071.0,802.0,2099.0,1862.0,2733.0,3083.0,2903.0,2461.0,1126.0,5427.0,13596.0,752.0,1571.0,2667.0,5.41,0.0
70,282.0,18122.0,2733.0,1690.0,772.0,1057.0,2190.0,297.0,448.0,773.0,376.0,421.0,636.0,746.0,867.0,481.0,583.0,317.0,1731.0,1025.0,1548.0,15365.0,133.0,11537.0,4835.0,329.0,1814.0,1357.0,3115.0,856.0,2727.0,777.0,675.0,1471.0,11191.0,451.0,736.0,4926.0,2.73,0.0
71,749.0,17860.0,2332.0,1494.0,438.0,660.0,1733.0,576.0,467.0,554.0,831.0,432.0,499.0,750.0,1200.0,671.0,969.0,504.0,1135.0,734.0,608.0,9444.0,448.0,14154.0,2368.0,451.0,910.0,680.0,1306.0,1503.0,1424.0,434.0,428.0,472.0,5808.0,702.0,828.0,1647.0,5.17,0.0
72,323.0,20183.0,1423.0,994.0,805.0,833.0,3783.0,504.0,561.0,687.0,292.0,438.0,617.0,747.0,1651.0,779.0,555.0,361.0,690.0,512.0,1126.0,22.0,34.0,15149.0,3997.0,1223.0,1274.0,188.0,2615.0,1566.0,4467.0,680.0,503.0,1584.0,11036.0,483.0,517.0,2111.0,5.12,0.0
73,187.0,9135.0,3027.0,2442.0,456.0,1201.0,1511.0,507.0,627.0,268.0,880.0,334.0,648.0,747.0,3052.0,319.0,555.0,382.0,1823.0,534.0,1661.0,8670.0,345.0,6875.0,975.0,1252.0,1612.0,1044.0,1027.0,1620.0,2025.0,934.0,762.0,1988.0,6767.0,478.0,262.0,1806.0,4.85,1.0
74,99.0,17641.0,3791.0,508.0,451.0,739.0,2113.0,234.0,497.0,85.0,473.0,472.0,179.0,743.0,168.0,193.0,438.0,372.0,3717.0,416.0,230.0,12356.0,286.0,11353.0,2198.0,379.0,724.0,314.0,1938.0,618.0,1119.0,830.0,429.0,754.0,6175.0,280.0,297.0,1542.0,4.47,1.0
75,652.0,9598.0,2222.0,634.0,461.0,1010.0,1135.0,472.0,159.0,477.0,438.0,314.0,283.0,748.0,1321.0,370.0,498.0,464.0,2820.0,593.0,1812.0,7290.0,427.0,11095.0,3410.0,564.0,408.0,332.0,2321.0,233.0,3163.0,155.0,394.0,623.0,14401.0,372.0,205.0,1081.0,2.84,0.0
